x, y, z
1335024.2, 5018674.8100000005, nan
1335024.24, 5018671.38, nan
1335023.27, 5018671.350000001, nan
1335020.76, 5018671.05, nan
1335019.98, 5018670.75, nan
1335023.11, 5018664.68, nan
1335020.71, 5018666.65, nan
1335018.1500000001, 5018668.4, nan
1335024.46, 5018659.69, nan
1335025.69, 5018656.95, nan
1335016.48, 5018667.3100000005, 754.74
1335023.81, 5018658.2700000005, nan
1335022.8800000001, 5018658.11, nan
1335015.54, 5018666.03, 754.36
1335024.35, 5018655.16, nan
1335025.4000000001, 5018652.66, nan
1335017.7, 5018662.13, 754.62
1335020.07, 5018658.22, 755.1
1335019.35, 5018657.89, 754.88
1335016.56, 5018660.33, 754.21
1335025.0, 5018649.93, nan
1335025.73, 5018647.68, 754.91
1335017.68, 5018657.58, 754.37
1335014.8, 5018660.15, 753.6800000000001
1335022.8800000001, 5018650.2, 754.67
1335020.82, 5018651.54, 753.99
1335012.01, 5018662.36, 753.04
1335020.79, 5018650.59, 753.5500000000001
1335018.78, 5018651.87, 753.01
1335011.6300000001, 5018659.53, 752.51
1335020.07, 5018649.15, 752.57
1335023.71, 5018643.5200000005, 752.78
1335012.0, 5018657.91, 752.28
1335017.24, 5018650.47, 751.76
1335024.95, 5018640.97, 752.52
1335015.45, 5018651.54, 751.46
1335009.7, 5018657.63, 751.52
1335017.03, 5018648.61, 750.89
1335022.16, 5018640.96, 750.75
1335014.82, 5018649.98, 750.4
1335007.8800000001, 5018657.5200000005, 751.15
1335015.94, 5018647.61, 750.11
1335017.56, 5018644.46, 749.72
1335009.87, 5018653.91, 750.03
1335012.04, 5018650.3, 749.44
1335019.75, 5018640.79, 749.59
1335010.21, 5018651.32, 749.11
1335009.66, 5018650.9, 748.71
1335018.48, 5018640.03, 748.78
1335008.9000000001, 5018650.66, 748.3100000000001
1335008.3, 5018650.47, 748.0
1335016.3800000001, 5018640.5200000005, 747.71
1335004.68, 5018653.79, 748.32
1335012.09, 5018643.72, 746.58
1335008.43, 5018646.95, 746.6
1335006.28, 5018648.69, 746.36
1335010.81, 5018642.01, 745.44
1335003.42, 5018650.17, 746.26
1335009.1400000001, 5018641.96, 744.62
1335002.34, 5018649.24, 745.7
1335007.81, 5018641.39, 743.91
1335001.7, 5018647.98, 745.12
1335005.03, 5018642.79, 743.6800000000001
1335002.18, 5018645.33, 744.75
1334999.62, 5018647.22, 744.44
1335002.28, 5018641.96, 743.1
1334999.46, 5018643.33, 743.19
1334997.29, 5018643.91, 742.7
1334997.03, 5018641.32, 741.5500000000001
1334992.81, 5018640.37, 739.64
1335014.59, 5018659.18, 753.85
1335005.2, 5018650.0200000005, 747.12
