x, y, z
1335015.11, 5018660.74, 753.77
1335014.3800000001, 5018661.63, 753.66
1335014.0, 5018662.100000001, 753.58
1335013.6300000001, 5018662.55, 753.45
1335013.27, 5018663.0, 753.38
1335012.91, 5018663.45, 753.32
1335012.23, 5018663.32, 753.16
1335012.6, 5018662.86, 753.19
1335012.97, 5018662.41, 753.1800000000001
1335013.33, 5018661.96, 753.21
1335013.7, 5018661.51, 753.29
1335014.07, 5018661.05, 753.45
1335014.44, 5018660.600000001, 753.57
1335014.8, 5018660.15, 753.6800000000001
1335015.17, 5018659.69, 753.76
1335015.91, 5018658.79, 753.87
1335016.27, 5018658.34, 753.9
1335016.6400000001, 5018657.88, 754.03
1335017.01, 5018657.43, 754.09
1335017.37, 5018656.98, 754.08
1335017.74, 5018656.53, 754.04
1335016.79, 5018656.49, 753.72
1335016.42, 5018656.94, 753.75
1335016.06, 5018657.39, 753.71
1335015.69, 5018657.84, 753.66
1335015.32, 5018658.29, 753.6
1335014.95, 5018658.74, 753.5600000000001
1335014.22, 5018659.64, 753.48
1335013.48, 5018660.55, 753.1800000000001
1335012.75, 5018661.46, 753.07
1335012.3800000001, 5018661.91, 753.07
1335012.01, 5018662.36, 753.04
1335011.62, 5018661.89, 752.87
1335011.99, 5018661.44, 752.87
1335012.36, 5018660.99, 752.9300000000001
1335012.72, 5018660.54, 752.99
1335013.1, 5018660.08, 752.98
1335013.47, 5018659.62, 753.0500000000001
1335014.56, 5018658.2700000005, 753.3000000000001
1335014.93, 5018657.8100000005, 753.35
1335015.3, 5018657.36, 753.42
1335016.04, 5018656.45, 753.4
1335015.12, 5018656.36, 753.08
1335014.76, 5018656.8, 753.12
1335014.4000000001, 5018657.25, 753.0600000000001
1335013.28, 5018658.62, 752.88
1335012.92, 5018659.07, 752.76
1335012.55, 5018659.5200000005, 752.73
1335011.81, 5018660.43, 752.63
1335011.45, 5018660.87, 752.65
1335011.09, 5018661.32, 752.57
1335010.52, 5018660.91, 752.27
1335010.9000000001, 5018660.44, 752.32
1335011.27, 5018659.99, 752.42
1335011.6300000001, 5018659.53, 752.51
1335012.0, 5018659.08, 752.59
1335012.37, 5018658.63, 752.61
1335012.73, 5018658.18, 752.64
1335013.1, 5018657.73, 752.66
1335013.47, 5018657.28, 752.66
1335013.84, 5018656.82, 752.67
1335014.21, 5018656.36, 752.63
