x, y, z
1335039.92, 5018693.96, 760.17
1335038.86, 5018690.74, 759.7
1335037.96, 5018689.5200000005, 759.77
1335038.76, 5018686.350000001, 759.66
1335039.16, 5018684.89, 759.5600000000001
1335036.67, 5018685.600000001, 759.58
1335034.42, 5018687.08, 759.8000000000001
1335038.6300000001, 5018679.74, 759.34
1335035.8900000001, 5018682.11, 759.39
1335035.8900000001, 5018680.72, 759.35
1335033.84, 5018682.26, 759.53
1335037.62, 5018676.4, 758.9300000000001
1335032.22, 5018682.07, 759.54
1335039.32, 5018672.09, 758.76
1335031.3, 5018681.89, 759.63
1335035.2, 5018676.04, 758.92
1335036.4000000001, 5018673.3, 758.76
1335030.02, 5018680.12, 759.48
1335036.95, 5018671.63, 758.71
1335034.3900000001, 5018673.59, 758.6800000000001
1335029.43, 5018678.64, 759.28
1335036.36, 5018670.13, 758.62
1335033.09, 5018672.8, 758.6
1335027.4000000001, 5018678.82, 759.03
1335033.59, 5018671.22, 758.6
1335037.76, 5018664.95, 758.25
1335029.01, 5018675.66, 758.72
1335028.67, 5018675.11, 758.61
1335036.35, 5018665.68, 758.28
1335034.76, 5018666.41, 758.1800000000001
1335026.01, 5018677.12, 758.5600000000001
1335030.61, 5018670.36, 758.17
1335038.6400000001, 5018660.5, 758.07
1335034.25, 5018664.69, 757.84
1335026.59, 5018674.08, 758.22
1335027.86, 5018671.55, 757.94
1335036.27, 5018661.21, 757.77
1335037.69, 5018658.2700000005, 758.01
1335030.76, 5018666.7700000005, 757.66
1335023.03, 5018675.21, 757.73
1335030.7, 5018665.78, 757.5500000000001
1335036.9000000001, 5018658.15, 757.98
1335036.94, 5018656.79, 758.07
1335030.74, 5018664.39, 757.4300000000001
1335024.16, 5018672.45, 757.51
1335026.07, 5018669.13, 757.47
1335032.6500000001, 5018661.05, 757.37
1335039.22, 5018652.96, 757.91
1335032.75, 5018659.72, 757.36
1335025.83, 5018668.21, 757.33
1335022.51, 5018671.3100000005, 757.04
1335028.72, 5018663.67, 757.15
1335037.49, 5018652.87, 757.76
1335036.25, 5018653.16, 757.66
1335028.21, 5018663.03, 756.95
1335021.26, 5018671.55, 756.79
1335025.16, 5018665.63, 756.98
1335031.74, 5018657.54, 757.29
1335038.3, 5018649.47, 757.5
1335034.59, 5018652.82, 757.34
1335028.3900000001, 5018660.43, 756.91
1335021.07, 5018669.41, 756.49
1335024.2, 5018664.59, 756.58
1335031.52, 5018655.58, 757.15
1335037.73, 5018647.95, 757.35
1335036.27, 5018648.53, 757.11
1335029.7, 5018656.600000001, 756.92
1335023.48, 5018664.23, 756.29
1335019.23, 5018668.47, 755.86
1335025.46, 5018660.8, 756.34
1335031.69, 5018653.13, 757.01
1335039.34, 5018643.72, 757.1
1335033.1400000001, 5018650.0, 756.91
1335026.95, 5018657.600000001, 756.51
1335018.8900000001, 5018667.5, 755.64
1335022.6300000001, 5018661.95, 755.83
1335028.86, 5018654.26, 756.9300000000001
1335035.07, 5018646.63, 756.73
1335038.09, 5018641.73, 756.36
1335031.9000000001, 5018649.32, 756.8100000000001
1335025.69, 5018656.95, 756.4300000000001
1335016.8900000001, 5018667.76, 754.94
1335021.61, 5018660.97, 755.54
1335028.22, 5018652.83, 756.88
1335034.41, 5018645.22, 756.22
1335035.6500000001, 5018642.44, 755.74
1335029.46, 5018650.03, 756.59
1335023.25, 5018657.65, 755.9300000000001
1335016.27, 5018666.23, 754.59
1335021.43, 5018658.7700000005, 755.53
1335028.73, 5018649.7700000005, 756.35
1335034.94, 5018642.14, 755.33
1335031.24, 5018645.51, 755.42
1335025.04, 5018653.11, 755.99
1335018.43, 5018661.23, 754.75
1335017.1500000001, 5018661.8100000005, 754.47
1335024.49, 5018652.7700000005, 755.79
1335030.69, 5018645.15, 755.16
1335031.76, 5018642.65, 754.8100000000001
1335025.59, 5018650.23, 755.76
1335019.35, 5018657.89, 754.88
1335015.46, 5018661.69, 754.01
1335022.81, 5018652.63, 755.34
1335029.01, 5018645.0, 754.73
1335030.1, 5018642.33, 754.53
1335023.54, 5018650.38, 754.9300000000001
1335016.94, 5018658.48, 754.15
1335014.44, 5018660.600000001, 753.57
1335021.42, 5018651.99, 754.72
1335027.62, 5018644.36, 754.5600000000001
1335026.67, 5018644.34, 754.49
1335017.8900000001, 5018655.13, 753.87
1335012.72, 5018660.54, 752.99
1335021.16, 5018650.14, 753.53
1335028.83, 5018640.69, 753.96
1335020.61, 5018649.62, 753.0500000000001
1335012.92, 5018659.07, 752.76
1335014.93, 5018655.47, 752.71
1335023.73, 5018644.63, 753.12
1335022.24, 5018645.33, 752.46
1335012.0, 5018657.91, 752.28
1335015.77, 5018652.2700000005, 751.7
1335022.75, 5018643.68, 752.28
1335019.47, 5018646.600000001, 751.21
1335012.52, 5018655.14, 751.64
1335011.53, 5018655.39, 751.28
1335017.76, 5018647.72, 750.86
1335022.53, 5018640.51, 750.86
1335016.29, 5018648.18, 750.38
1335010.06, 5018655.82, 750.88
1335012.27, 5018652.12, 750.47
1335019.97, 5018642.64, 750.32
1335015.73, 5018646.71, 749.76
1335009.5, 5018654.37, 750.02
1335011.3, 5018651.21, 749.54
1335017.91, 5018643.0600000005, 749.54
1335014.62, 5018645.92, 748.84
1335006.2, 5018656.25, 749.76
1335011.86, 5018648.19, 748.71
1335016.61, 5018641.19, 748.0600000000001
1335008.9000000001, 5018650.66, 748.3100000000001
1335007.21, 5018651.8, 748.1800000000001
1335014.18, 5018643.23, 747.52
1335009.06, 5018648.41, 747.54
1335006.23, 5018650.93, 747.44
1335014.68, 5018640.53, 746.84
1335007.69, 5018647.86, 746.64
1335005.92, 5018649.14, 746.4
1335012.28, 5018640.2, 745.35
1335003.84, 5018650.57, 746.49
1335007.45, 5018645.21, 745.44
1335005.11, 5018646.9, 745.6
1335003.81, 5018647.44, 745.37
1335007.44, 5018641.84, 743.92
1335000.97, 5018648.88, 745.26
1335007.2, 5018641.21, 743.6800000000001
1334999.91, 5018649.08, 744.96
1335004.75, 5018640.92, 742.79
1335000.36, 5018645.42, 744.2
1334999.72, 5018645.11, 743.99
1334999.46, 5018643.33, 743.19
1334998.77, 5018642.09, 742.59
1334996.62, 5018642.73, 741.92
1334995.23, 5018640.38, 740.37
1335035.8900000001, 5018685.28, 760.04
1335034.84, 5018683.37, 761.4300000000001
1335033.74, 5018683.34, 760.58
1335033.67, 5018681.2, 761.86
1335033.1500000001, 5018679.62, 760.57
1335039.33, 5018669.69, 760.48
1335038.07, 5018670.23, 760.24
1335031.1500000001, 5018677.54, 760.59
1335037.11, 5018667.86, 759.76
1335035.96, 5018667.14, 759.67
1335036.25, 5018664.5600000005, 760.1
1335033.0, 5018665.23, 758.2
1335017.69, 5018658.93, 755.46
1335025.68, 5018640.0600000005, 752.86
1335007.12, 5018643.36, 745.0500000000001
