x, y, z
1335011.62, 5018661.89, 752.87
1335011.99, 5018661.44, 752.87
1335012.36, 5018660.99, 752.9300000000001
1335012.72, 5018660.54, 752.99
1335013.1, 5018660.08, 752.98
1335019.51, 5018650.97, 753.0
1335019.1500000001, 5018651.42, 753.0
1335018.78, 5018651.87, 753.01
1335018.42, 5018652.3100000005, 753.02
1335015.49, 5018655.91, 753.02
1335013.28, 5018658.62, 752.88
1335012.92, 5018659.07, 752.76
1335012.55, 5018659.5200000005, 752.73
1335011.81, 5018660.43, 752.63
1335011.45, 5018660.87, 752.65
1335011.09, 5018661.32, 752.57
1335010.52, 5018660.91, 752.27
1335010.9000000001, 5018660.44, 752.32
1335011.27, 5018659.99, 752.42
1335011.6300000001, 5018659.53, 752.51
1335012.0, 5018659.08, 752.59
1335012.37, 5018658.63, 752.61
1335012.73, 5018658.18, 752.64
1335013.1, 5018657.73, 752.66
1335013.47, 5018657.28, 752.66
1335013.84, 5018656.82, 752.67
1335014.21, 5018656.36, 752.63
1335014.57, 5018655.92, 752.6800000000001
1335014.93, 5018655.47, 752.71
1335015.3, 5018655.01, 752.7
1335015.68, 5018654.55, 752.69
1335016.05, 5018654.100000001, 752.74
1335017.1400000001, 5018652.75, 752.58
1335017.51, 5018652.3, 752.58
1335018.24, 5018651.4, 752.63
1335018.61, 5018650.95, 752.66
1335018.97, 5018650.5, 752.59
1335019.33, 5018650.05, 752.5500000000001
1335019.7, 5018649.600000001, 752.58
1335020.07, 5018649.15, 752.57
1335021.16, 5018647.8, 752.6
1335021.53, 5018647.350000001, 752.64
1335021.9000000001, 5018646.89, 752.75
1335022.6300000001, 5018645.99, 752.94
1335025.9000000001, 5018640.83, 752.97
1335025.53, 5018641.28, 753.0
1335024.44, 5018642.62, 752.87
1335024.08, 5018643.07, 752.77
1335023.71, 5018643.5200000005, 752.78
1335022.98, 5018644.41, 752.59
1335022.61, 5018644.88, 752.52
1335022.24, 5018645.33, 752.46
1335021.87, 5018645.78, 752.33
1335021.51, 5018646.23, 752.22
1335020.05, 5018648.0200000005, 752.15
1335019.67, 5018648.49, 752.0
